userID,age,Facebook,Instagram,WhatsApp,Twitter,LinkedIn,Snapchat,YouTube,TotalEngagement
U0053,40,2.73,2.84,3.86,0.98,1.68,1.47,1.39,12
U0054,38,1.83,2.78,1.37,0.9,0.72,1.43,0.47,9.5
U0055,22,3.91,0.54,0.92,0.07,1.12,1.86,1.64,10.06
U0056,27,3.42,2.09,0.97,1.94,0.79,1.75,1.58,12
U0057,62,0.33,1.14,3.69,0.7,0.63,0.08,1.75,8.32
U0058,27,0.87,3.76,1.78,1.74,1.63,0.79,1.88,12
U0059,31,0.31,3.47,1.29,0.37,1.44,0.5,0.59,7.97
U0060,39,1.47,2.55,2.98,1.67,1.83,0.36,1.72,12
U0061,52,1.56,0.45,3.77,1.22,0.55,0.67,0.93,9.15
U0062,46,0.44,3.05,3.68,0.96,1.52,0.02,1.53,11.2
U0063,47,3.74,1.52,2.43,0.94,0.99,1.9,1.76,12
U0064,29,0.62,3.93,2.99,1.26,0.52,1.88,1.51,12
U0065,59,2.73,2.72,3.53,0.46,0.65,1.22,1.64,12
U0066,57,1.45,1.23,3.8,1.7,0.91,0.87,0.18,10.14
U0067,64,1.88,0.26,3.71,1.9,1.53,0.15,0.19,9.62
U0068,46,3.02,1.39,2.11,1.93,1.45,0.18,0.71,10.79
U0069,63,1.18,0.5,3.83,1.18,0.82,0.96,1.67,10.14
U0070,26,3.33,1.7,3.9,0.33,1.76,1.66,0.74,12
U0071,22,1.25,2.92,3.11,1.53,1.66,1.69,1.36,12
U0072,43,1.18,2.35,2.25,1.32,1.65,0.45,1.8,11
U0073,34,1.89,2.44,3.23,1.68,1.4,1.47,0.63,12
U0074,19,3.17,3.27,3.1,0.02,0.36,1.71,1.86,12
U0075,62,2.19,2.48,1.64,0.31,0.05,1.48,0.12,8.27
U0076,37,0.08,0.08,3.32,0.5,1.26,1.9,1.31,8.45
U0077,38,2.9,2.51,0.95,1.52,0.4,1.45,0.63,10.36
U0078,57,2.85,3.75,0.32,0.68,0.09,1.41,0.58,9.68
U0079,28,2.73,0.88,1.94,0.57,1.17,1.19,0.94,9.42
U0080,35,1.44,3.17,2.4,0.51,1.56,1.01,0.82,10.91
U0081,33,1.91,0.38,0.96,1.03,1.66,0.08,0.01,6.03
U0082,49,3.77,3.11,1.94,1.48,0.19,1.49,0.4,12
U0083,48,3.91,0.08,0.16,1.08,0.05,0.69,0.69,6.66
U0084,24,3.14,3.23,3.92,1.91,1.59,0.68,0.97,12
U0085,42,0.18,3.39,0.69,1.67,1.06,0.22,0.28,7.49
U0086,46,3.82,1.91,2.41,1.75,1.38,1.15,1.34,12
U0087,51,1.07,2.86,3.9,1.63,1.06,0.33,0.91,11.76
U0088,20,1.24,3.77,2.1,0.39,0.37,1.58,0.61,10.06
U0089,18,2.34,1.66,1.21,0.23,0.98,0.45,0.06,6.93
U0090,22,0.23,0.41,0.92,0.17,1.21,1.06,0.86,4.86
U0091,54,3.41,1.74,3.64,1.04,1.36,1.02,0.75,12
U0092,57,1.11,0.59,0.41,0.39,1.16,0.13,1.06,4.85
U0093,46,0.67,0.66,2.98,1.86,1.1,0.33,0.98,8.58
U0094,48,3,3.47,3.4,1.77,1.75,0.56,0.41,12
U0095,36,1.65,1.34,2.02,1.89,1.53,0.23,0.83,9.49
U0096,55,1.31,3.79,0.91,0.57,1.61,1.88,0.08,10.15
U0097,31,2.54,1.92,3.37,0.34,1.95,0.84,1.26,12
U0098,57,1.51,1.15,1.67,0.42,1.16,0.88,1.08,7.87
U0099,57,2.39,1.14,0.52,1.04,1.23,1.24,1.26,8.82
U0100,58,3.58,2.56,2.78,0.73,1.15,1.2,0.82,12
U0101,61,3.48,2.7,0.48,0.77,0.11,1.93,0.87,10.34
U0102,27,1.69,2.86,2.81,1.78,1.82,0.09,1.58,12
U0103,28,3.28,2.01,3.98,0.29,0.4,1.63,0.42,12
U0104,30,2.95,0.54,1.59,1.05,0.49,1.43,0.21,8.26
U0105,64,2.77,0.36,0.25,0.28,1.68,0.87,1.52,7.73
U0106,63,2.84,0.73,1.36,1.19,0.91,0.23,1.22,8.48
U0107,35,3.23,3.14,1.27,0.25,0.48,0.74,1.43,10.54
U0108,61,2.64,1.28,1.5,1.01,1.74,1.79,1.97,11.93
U0109,47,3.23,2.8,0.29,1.05,1.25,0.91,1.36,10.89
U0110,20,2.39,0.39,1.51,0.73,0.94,0.26,0.75,6.97
U0111,61,1.49,0.13,1.14,1.33,1.67,0.47,0.97,7.2
U0112,65,2.19,2.44,0.69,1.1,0.57,0.95,0.5,8.44
U0113,31,2.92,0.52,3.68,1.12,0.44,0.19,0.33,9.2
U0114,60,3.98,1.03,2.41,0.67,1.57,1.36,1.15,12
U0115,44,1.29,2.21,2.57,0.67,1.13,1.89,0.96,10.72
U0116,64,2.92,0.89,1.49,0.44,0.97,0.22,0.16,7.09
U0117,62,1.1,1.38,3.33,1.6,0.4,1.43,0.1,9.34
U0118,55,0.7,0.48,3.44,0.29,1.56,0.91,0.39,7.77
U0119,52,2.43,1.5,2.48,1.91,1.44,0.86,0.67,11.29
U0120,23,1.15,3.01,2.5,1.01,0.27,1.57,0.36,9.87
U0121,20,2.78,2.71,3.05,1.92,1.79,1.82,1.52,12
U0122,32,1.86,3.04,1.5,1.39,1.88,1.2,0.35,11.22
U0123,30,0.75,3.36,2.05,1.26,0.93,1.4,1.37,11.12
U0124,33,2.71,0.84,1.01,1.89,1.2,1.06,0.02,8.73
U0125,40,2.96,0.29,1.72,1.09,0.1,1.17,0.13,7.46
U0126,61,2.94,3.83,2.99,1.86,0.33,0.5,0,12
U0127,50,3.63,0.54,2.54,1.52,0.87,0.28,1.08,10.46
U0128,50,2.85,3.21,1.09,0.03,1.16,1.17,1.15,10.66
U0129,29,2.46,1.72,2.77,1.82,0.93,0.21,1.7,11.61
U0130,64,3.7,2.23,1.96,1.05,0.81,1.34,0.13,11.22
U0131,21,1.53,0.57,1.53,0.08,1.39,1.64,1.19,7.93
U0132,52,0.08,1.88,3.18,0.37,1.59,1.82,0,8.92
U0133,54,0.65,2.71,1.21,0.03,1.39,1.14,1.88,9.01
U0134,38,0.33,2.72,2.08,0.5,1.66,0.64,0.54,8.47
U0135,49,2.27,0.31,1.07,1.2,0.3,0.77,1.34,7.26
U0136,62,3.52,3.83,1.75,1.63,1.23,0,0.04,12
U0137,29,1.68,1.75,2.56,0.65,1.59,0.75,1.09,10.07
U0138,54,1.54,1.1,1.74,0.88,0.32,1.39,1.55,8.52
U0139,19,0.08,0.54,0.85,1,0.95,0.78,1.62,5.82
U0140,26,3.47,3.2,1.46,0.96,1.8,1.99,0.18,12
U0141,39,2.68,0.1,3.21,1.97,0.36,0.31,0.07,8.7
U0142,39,0.4,0.47,0.3,1.81,0.96,1.18,1.15,6.27
U0143,27,2.29,2.03,1.86,0.68,1.55,0.05,0.22,8.68
U0144,41,1.11,3.81,1.37,1.03,1.37,1.6,0.99,11.28
U0145,25,3.87,2.36,1.45,1.22,1.27,1.36,0.24,11.77
U0146,44,2.24,1.83,0.86,0.61,0.93,0.57,1.13,8.17
U0147,59,1.37,0.73,2.67,0.24,0.29,1.91,1.92,9.13
U0148,43,0.18,0.14,0.79,0.79,1.05,1.83,1.37,6.15
U0149,55,1.96,2.74,0.06,0.01,0.78,1.55,0.68,7.78
U0150,35,0.2,3.43,0.61,0.43,0.91,0.95,1.54,8.07
U0151,29,0.79,3.9,1.27,1.2,0.72,0.88,0.72,9.48
U0152,65,3.38,3.93,3.23,0.6,1.29,1.96,0.37,12
U0153,44,1.43,3.66,0.66,1.46,0.32,1.25,1.38,10.16
U0154,53,2.48,3.11,3.76,0.22,1.39,1.01,0.54,12
U0155,63,0.1,1.08,0.05,0.35,0.19,0.75,0.53,3.05
U0156,55,0.36,0.86,1.29,0.68,1.11,1.72,0.65,6.67
U0157,34,3.93,0.5,0.62,0.48,0.58,0.15,1.19,7.45
U0158,41,3.72,3.51,2.79,1.85,0.85,0.8,0.57,12
U0159,25,1.14,2.5,3.36,0.3,1.81,1.85,0.67,11.63
U0160,35,2.05,3.9,2.89,0.18,0.3,1.89,1.38,12
U0161,29,1.9,2,3.44,1.51,0.55,1.59,1.75,12
U0162,32,2.92,0.59,1.55,0.24,0.45,0.77,1.03,7.55
U0163,34,0.52,1.2,3.76,1.97,1.48,0.32,0.55,9.8
U0164,21,0.79,3.67,1.46,0.18,0.18,1.2,1.57,9.05
U0165,31,2.17,3.2,0.83,1.98,0.78,1.69,0.23,10.88
U0166,53,3.12,2.43,2.79,1.67,0.65,0.91,1.03,12
U0167,38,1.63,0.39,3.7,1.78,1.71,1.53,1.39,12
U0168,39,3.32,1.74,0.25,1.64,1.17,1.45,0.9,10.47
U0169,56,2.47,2.76,0.47,0.42,0.38,1.86,0.91,9.27
U0170,42,2.02,3.43,3.47,0.43,1.68,0.66,1.99,12
U0171,47,2.15,2.75,3.53,1.64,1.84,0.79,0.55,12
U0172,63,0.48,3.26,3.4,1.94,0.14,1.65,1.66,12
U0173,50,1.16,2.43,0.6,1.38,0.8,1.42,0.34,8.13
U0174,56,3.86,1.25,2.22,1.5,0.88,1,1,11.71
U0175,41,0.21,1.07,3.31,0.31,0.04,1.03,1.74,7.71
U0176,64,3.86,2.46,1.42,1.59,1.69,0.99,1.35,12
U0177,65,2.34,0.63,2.84,1.37,0.24,0.37,0.75,8.54
U0178,27,2.7,0.21,2.74,0.81,1.73,0.74,1.46,10.39
U0179,65,1.78,0.42,1.34,1.52,1,0.82,1.66,8.54
U0180,20,0.73,0.77,3.41,0.13,1.76,1.38,0.76,8.94
U0181,27,0.97,1.61,2.68,1.32,0.78,1.86,1.07,10.29
U0182,58,3.54,2.69,1.15,1.62,1.16,1.85,1.61,12
U0183,33,3.22,2.3,2.27,1.96,0.85,1.66,1.18,12
U0184,57,1.98,1.94,1.77,0.02,0.7,1.36,1.92,9.69
U0185,36,0.71,3.45,0.33,0.95,1.71,1.61,0.28,9.04
U0186,28,2.5,2.13,1.76,1.13,1.73,1.35,1.7,12
U0187,28,0.31,3.58,0.99,1.36,0.68,1.86,1.87,10.65
U0188,58,0.23,3.01,0.84,1.34,0.81,0.71,1.78,8.72
U0189,36,0.13,2.15,0.08,1.25,0.73,0,0.1,4.44
U0190,64,2.94,2.71,3.17,0.04,1.69,1.54,0.7,12
U0191,24,1.77,2.58,3.79,1.31,1.86,0.32,1.01,12
U0192,33,2.83,3.33,0.79,1.38,0.79,0.95,0.99,11.06
U0193,35,3.5,3.13,3.45,0.33,0.56,0.74,0.94,12
U0194,60,0.76,1.69,0.9,0.12,0.21,1.42,1.41,6.51
U0195,51,0.04,1.67,2.7,1.61,0.55,0.76,0.66,7.99
U0196,52,3.07,1.31,0.44,0.86,0.47,0.42,1.79,8.36
U0197,48,3.69,1.21,2.4,1.97,1.12,1.26,1.22,12
U0198,25,0.89,2.33,2.55,1.6,0.38,0.44,0.71,8.9
U0199,58,1.62,0.15,0.96,1.71,1.4,0.93,0.56,7.33
U0200,56,0.93,2.44,2.87,1.03,1.69,0.63,1.27,10.86
U0201,18,2.82,0.8,2.34,0.95,1.39,1.56,0.33,10.19
U0202,43,2.07,0.53,1.49,0.23,1.86,0.76,0.61,7.55
U0203,35,0.43,0.35,2.35,0.19,1.17,0.86,1.88,7.23
U0204,41,1.05,1.68,1.55,0.51,0.56,0.19,1.67,7.21
U0205,62,2.65,3.03,3.35,1.19,1.24,0.85,1.24,12
U0206,46,2.5,0.89,0.64,1.36,0.59,1.28,0.91,8.17
U0207,53,1.42,2.73,1.59,1.65,1.99,1.58,1.67,12
U0208,30,0.2,1.59,1.69,1.62,1.52,0.24,1.3,8.16
U0209,21,3.14,3.8,1.69,1.15,0.33,1.7,0.83,12
U0210,34,1.25,0.91,2.9,1.98,1.25,1.65,0.69,10.63
U0211,36,0.55,1.63,1.35,0.14,1.21,0.1,1.87,6.85
U0212,60,2.85,0.54,2.51,0.14,1.41,1.45,0.02,8.92
U0213,55,2.74,1.14,1.28,0.37,1.43,0.68,0.18,7.82
U0214,22,3.56,0.29,0.82,0.07,1.84,1.45,1.77,9.8
U0215,51,0.03,0.97,3.4,0.84,1.02,0.15,1.86,8.27
U0216,65,1.83,0.54,0.6,0.41,1.22,1.57,0.44,6.61
U0217,24,1.57,1.82,1.49,0.48,0.11,0.58,1.83,7.88
U0218,57,3.03,2.37,2.18,1.66,1.4,1.16,1.58,12
U0219,34,3.78,0.49,0.73,1.25,0.9,1,1.38,9.53
U0220,24,3.67,2.99,2.77,0.73,1.43,1.78,1.95,12
U0221,56,2.56,3.9,2.36,1.57,1.16,0.26,0.32,12
U0222,38,2.33,0.66,0.82,1.94,1.9,1.59,1.2,10.44
U0223,40,2.94,3.66,1.94,1.08,1.2,1.13,1.83,12
U0224,65,0.57,2.37,0.11,0.49,1.92,0.94,0.3,6.7
U0225,32,1.81,3.89,2.17,0.78,0.21,1.04,1.18,11.08
U0226,47,2.04,0.53,1.26,1.89,1.29,1.2,0.25,8.46
U0227,61,2.18,0.09,3.8,1.91,0.68,1.62,1.68,11.96
U0228,30,2.74,0.67,1.55,1.34,0.36,0.36,1.64,8.66
U0229,30,2.49,0.87,0.46,1.66,0.89,1.1,0.29,7.76
U0230,41,0.19,3.73,1.64,0.35,1.72,1.21,0.28,9.12
U0231,58,1.94,0.71,1.65,1.74,0.42,1.76,1.21,9.43
U0232,24,1.99,0.53,1.08,1.19,1.67,1.93,0.95,9.34
U0233,49,0.49,1.47,2.98,1.53,0.92,0.73,1.93,10.05
U0234,53,1.93,0.38,0.09,0.5,1.29,0.93,1.2,6.32
U0235,20,2.85,0.2,3.67,1.61,1.43,0.22,1.21,11.19
U0236,32,2.98,1.98,3.34,0.41,1.45,0.44,1.6,12
U0237,50,0.07,2.96,1.77,1.92,1.41,1.85,1.19,11.17
U0238,60,1.06,1.61,2.83,1.68,0.63,1.55,0.42,9.78
U0239,35,0.82,0.87,1.5,1,1.39,0.39,0.83,6.8
U0240,21,2.5,0.75,0.91,0.89,0.13,1.68,1.51,8.37
U0241,47,2.96,1.79,0.23,1.94,1.7,1.49,0.93,11.04
U0242,44,1.28,1.39,0.85,1.26,1.55,0.94,0.49,7.76
U0243,62,1.67,1.07,0.19,0.81,1.4,0.18,1.02,6.34
U0244,60,3.92,0.65,0.84,1.85,0.31,1.82,1.41,10.8
U0245,26,3.96,1.58,1.35,1.57,0.92,1.07,0.87,11.32
U0246,24,0.79,2.43,2.03,1.56,0.21,1.44,0.93,9.39
U0247,29,1.35,1.78,3.17,1.94,0.53,1.06,1.47,11.3
U0248,26,2.63,2.31,0.45,1.29,0.61,0.55,1.68,9.52
U0249,28,2.08,2.28,3.5,0.49,1.01,0.45,0.14,9.95
U0250,54,0.34,2.72,1.61,1.44,0.07,1.96,1.45,9.59
U0251,38,0.13,3.33,1.42,1.1,0.04,1.13,0.79,7.94
U0252,59,1.29,1.55,3.34,0.46,0.23,1.38,1.75,10
U0253,50,2.38,1.49,2.93,0.12,0.78,1.62,1.26,10.58
U0254,46,2.33,3.94,3.37,1.82,0.76,0.8,1.35,12
U0255,65,0.26,1.88,3.57,1.44,1.22,1.35,1.01,10.73
U0256,18,2.68,0.98,0.73,0.93,0.19,1.33,1.84,8.68
U0257,20,2.8,1.23,3.27,1.72,0.94,1.16,0.46,11.58
U0258,58,1.83,0.9,1.25,1.1,1.72,0.21,1.68,8.69
U0259,41,2.4,3.6,0.16,0.82,0.86,0.07,0.05,7.96
U0260,40,0.89,3.16,0.91,1.58,0.54,1.54,1.26,9.88
U0261,58,2.85,2.35,1.33,1.43,1.58,1.84,0.01,11.39
U0262,24,1.33,3.3,2.83,1.51,0.31,1.59,0.66,11.53
U0263,54,2.5,1.22,3.53,0.21,0.33,1.03,1.63,10.45
U0264,47,0.99,0.38,3.16,1.08,1.62,1.61,1.52,10.36
U0265,37,3.94,2.77,0.67,0.89,1.83,1.93,0.7,12
U0266,52,1.25,0.96,1.92,1.44,1.72,0.45,1.99,9.73
U0267,34,3.94,1.93,2.65,1.6,1.75,0.91,1.52,12
U0268,48,0.27,0.29,1.5,0.19,0.6,0.83,1.45,5.13
U0269,42,1.43,3.45,1.78,1.96,1.97,1.11,1.24,12
U0270,56,0.49,0.55,1.4,1.59,1.79,1.84,1.5,9.16
U0271,34,3.38,3.31,1,1.57,1.72,0.81,1.55,12
U0272,20,3.54,1.76,1.55,1.3,1.88,0.91,0.59,11.53
U0273,21,3.34,3.08,2.5,1.36,1.18,0.95,1.7,12
U0274,57,0.94,1.69,0.83,0.15,1.77,0.15,0.3,5.83
U0275,55,2.49,3.63,0.66,1.1,0.84,0.94,0.92,10.58
U0276,27,2,1.79,1.08,0.33,1.16,1.93,1.67,9.96
U0277,41,0.12,0.57,1.1,1.6,1.91,0.39,1.12,6.81
U0278,48,3.12,0.84,2.89,0.87,0.94,0.79,0.12,9.57
U0279,35,0.86,0.2,0.9,1.84,0.47,0.32,1.89,6.48
U0280,49,0.84,2.95,2.82,0.49,0.35,1.88,1.11,10.44
U0281,35,1.37,2.62,1.68,0.96,0.28,1.56,1.58,10.05
U0282,39,0.94,3.46,0.37,1.68,0.58,1.52,0.63,9.18
U0283,45,2.78,1.96,1.83,1.29,0.72,0.12,1.66,10.36
U0284,47,2.88,2.22,1.31,1.31,0.57,1.36,1.17,10.82
U0285,19,0.95,0.75,3.33,1.82,0.55,1.2,1.87,10.47
U0286,20,2.13,3.25,1.49,1.66,0.72,1.22,1.31,11.78
U0287,28,1.12,2.98,1.15,1.6,0.03,1.25,0.9,9.03
U0288,44,0.88,0.73,2.01,1.79,0.14,0.07,1.46,7.08
U0289,58,2.66,1.09,3.51,1.57,1.06,0.3,1.25,11.44
U0290,35,2.1,2.31,0.18,0.51,0.77,0.12,1.37,7.36
U0291,39,2.93,2.87,0.15,1.33,1.85,0.55,0.19,9.87
U0292,36,0.38,1.4,0.63,1.28,1.7,0.55,0.37,6.31
U0293,55,3.2,2.96,1.82,1.19,1.25,1.25,1.77,12
U0294,59,3.87,0.42,1.47,0.95,0.83,1.16,1.13,9.83
U0295,41,3.68,0.55,0.57,1.02,0.35,0.55,1.9,8.62
U0296,20,1.31,0.42,0.46,0.71,1.64,1.21,1.37,7.12
U0297,51,2.01,1.23,0.94,0.96,1.18,1.45,0.91,8.68
U0298,48,2.9,3.41,1.57,1.27,0.05,0.4,0.71,10.31
U0299,35,1.02,0.81,1.87,1.2,0.94,1.36,0.8,8
U0300,32,1.63,0.18,1.01,1.12,0.15,1.43,0.02,5.54
U0301,39,3.95,0.97,3.78,0.43,0.13,1.96,0.47,11.69
U0302,26,0.95,2.14,1.72,1.9,0.65,1.21,0.2,8.77
U0303,23,3.75,3.65,2.67,0.01,1.6,0.66,1.86,12
U0304,29,2,3.17,2.28,0.65,0.11,0.78,0.84,9.83
U0305,44,1.42,1.26,3.64,1.36,1.25,0.73,1.47,11.13
U0306,46,0.97,1.63,0.98,0.93,1.73,1.83,1.94,10.01
U0307,47,2.4,1.5,1.7,0.69,1.36,0.3,1.97,9.92
U0308,25,2.18,0.05,2.91,0.74,1.46,0.51,1.2,9.05
U0309,53,0.38,3.64,1.88,0.45,0.73,0.79,0.93,8.8
U0310,62,1.59,0.45,1.96,0.82,1.64,1.78,1.72,9.96
U0311,23,2.44,0.63,3.4,0.49,1.14,0.41,0.54,9.05
U0312,40,2.63,2,3.62,1.15,1.78,0.53,0.68,12
U0313,56,0.21,3.75,3.94,0.87,1.52,1.99,0.87,12
U0314,39,2.74,3.79,2.18,0.87,1.28,0.6,0.37,11.83
U0315,64,0.93,1.17,2.51,0.24,1.79,1.35,1.36,9.35
U0316,46,1.8,0.94,3.94,0.28,0.04,0.06,0.57,7.63
U0317,22,0.38,1.26,1.84,1.16,1.22,1.5,0.82,8.18
U0318,53,3.82,2.5,3.21,0.29,1.89,0.77,1.25,12
U0319,31,2.44,3.93,0.41,1.51,0.77,1.01,0.04,10.11
U0320,60,3.73,2.02,3.31,0.66,0.95,0.49,1.63,12
U0321,58,0.72,0.03,2.3,1.51,0.83,0.56,0.28,6.23
U0322,63,0.38,2.51,1.8,1.12,0.12,1.22,0.21,7.36
U0323,55,3.06,0.67,3.97,0.96,1.01,0.48,0.11,10.26
U0324,24,3.88,2.56,0.4,1.22,0.79,0.32,1.38,10.55
U0325,21,0.85,2.09,1.66,1.71,0.4,1.97,1.13,9.81
U0326,18,1.65,0.54,1.09,0.52,0.65,1.09,0.06,5.6
U0327,44,0.17,2.68,3.8,0.75,0.77,1.66,2,11.83
U0328,47,1.65,3.37,0.8,0.64,1.42,1.24,0.82,9.94
U0329,32,1.01,0.47,3.14,1.61,1.37,0.21,0.19,8
U0330,59,1.97,0.31,1.7,1.17,1.61,1.2,1.93,9.89
U0331,41,0.04,3.59,0.94,0.72,0.32,1.74,1.61,8.96
U0332,29,0.46,4,1.24,0.28,0,1.66,1.34,8.98
U0333,58,0.22,1.93,3.2,0.87,1.58,0.27,1.45,9.52
U0334,37,3.79,3.07,2.21,0.38,1.44,1.82,0.68,12
U0335,27,3.69,3.26,0.34,0.69,1.97,0.25,0.81,11.01
U0336,20,2.18,1.96,3.08,0.55,0.51,0.58,0.64,9.5
U0337,40,0.7,2.13,0.44,0.06,0.67,1.6,1.85,7.45
U0338,54,1.81,1.81,2.99,1.78,1.23,1.03,0.35,11
U0339,51,2.24,1.67,3.03,0.51,1.64,1.9,0.49,11.48
U0340,59,0.82,0.73,2.57,1.13,0.34,1.43,1.71,8.73
U0341,33,0.6,2.12,0.17,0.58,0.04,0.84,1.73,6.08
U0342,38,2.35,3,0.4,0.73,0.24,0.46,1.31,8.49
U0343,48,3.15,2.06,3.49,1.65,0.49,0.21,0.88,11.93
U0344,21,2.17,0.18,2.25,1.45,1.78,1.77,1.24,10.84
U0345,43,3.63,0.26,3.26,1.77,0.31,0.97,0.33,10.53
U0346,41,2.62,3.48,2.33,0.61,0.26,1.14,1.7,12
U0347,52,2.94,0.06,1.15,1.35,0.86,1.67,0.43,8.46
U0348,43,3.54,3.09,2.4,1.4,1.74,0.76,0.82,12
U0349,18,1.32,1.77,0.5,2,0.75,0.86,0.72,7.92
U0350,41,2.82,3.39,1.92,1.72,0.85,1.09,0.82,12
U0351,18,1.28,3.07,0.79,0.18,1.65,1.24,1.76,9.97
U0352,26,0.8,0.82,0.4,1.51,0.92,1.69,1.3,7.44
U0353,44,0.9,2.58,1.89,1.13,1.7,1.3,0.25,9.75
U0354,44,2.77,2.99,1.61,0.77,0.03,0.64,1.44,10.25
U0355,63,2.07,1.94,3.18,0.89,0.52,1.93,1.76,12
U0356,43,0.28,1.1,0.11,1.26,0.14,1.82,1.71,6.42
U0357,48,0.59,0.1,3.04,0.9,1.04,0.63,0.49,6.79
U0358,64,2.57,3.64,0.11,0.11,0.42,0.82,1.43,9.1
U0359,56,2.29,2.46,3.39,0.23,0.64,0.64,0.42,10.07
U0360,31,3.2,0.81,1.86,0.04,1.82,1.2,0.63,9.56
U0361,44,0.55,2.81,2.83,0.86,0.27,0.2,1.2,8.72
U0362,45,1.24,0.48,1.36,1.03,0.06,0.54,1.22,5.93
U0363,37,1.08,1.99,1.34,0.38,0.96,1.17,1.61,8.53
U0364,44,0.09,3.9,3.04,1.61,0.18,1.67,1.51,12
U0365,27,0.7,1.8,0.37,1.75,1.86,1.06,0.18,7.72
U0366,34,1.31,3.18,2.2,0.44,1.69,0.88,1.63,11.33
U0367,47,1.81,2.59,1.58,1.61,1.14,0.3,0.95,9.98
U0368,44,1.58,0.75,1.38,1.55,1.79,1.43,0.83,9.31
U0369,53,2.65,3.28,3.61,1.77,1.8,0.19,0.01,12
U0370,35,3.63,0.65,0.89,1.24,1.45,1.53,0.63,10.02
U0371,45,2.15,1.58,3.86,1.61,0.7,1.24,1.24,12
